"User Story Number","User Story Description","Feature Number","Feature Description"
"US-1","As a customer service agent, I want to open the Customer Service Reports dashboard via Reports menu, so that I can access needed reports.","F-1","Display Reports top-menu with “Customer Service” option"
"US-1","As a customer service agent, I want to open the Customer Service Reports dashboard via Reports menu, so that I can access needed reports.","F-2","Redirect to Customer Service Reports dashboard when option clicked"
"US-1","As a customer service agent, I want to open the Customer Service Reports dashboard via Reports menu, so that I can access needed reports.","F-3","List available customer service reports in left-hand menu"
"US-2","As a customer service agent, I want to select a report from the dashboard menu, so that I can configure and run it.","F-1","Enable hyperlink click on each customer service report title"
"US-2","As a customer service agent, I want to select a report from the dashboard menu, so that I can configure and run it.","F-2","Load report setup page displaying all required input fields"
"US-2","As a customer service agent, I want to select a report from the dashboard menu, so that I can configure and run it.","F-3","Mark required fields and block run until they are completed"
"US-3","As a customer service agent, I want to export the report in Excel, PDF, or HTML, so that I can analyze and share it.","F-1","Render buttons [REPORT IN EXCEL], [REPORT IN PDF], [REPORT IN HTM]"
"US-3","As a customer service agent, I want to export the report in Excel, PDF, or HTML, so that I can analyze and share it.","F-2","Generate and download file matching selected format"
"US-3","As a customer service agent, I want to export the report in Excel, PDF, or HTML, so that I can analyze and share it.","F-3","Verify downloaded file contains data filtered by user inputs"
"US-4","As a director, I want to open the Director Reports dashboard via Reports menu, so that I can access director-level reports.","F-1","Add “Director Reports” option to Reports dropdown"
"US-4","As a director, I want to open the Director Reports dashboard via Reports menu, so that I can access director-level reports.","F-2","Redirect to Director Reports dashboard on selection"
"US-4","As a director, I want to open the Director Reports dashboard via Reports menu, so that I can access director-level reports.","F-3","Display left-hand list of director reports"
"US-5","As a director, I want to select a director report from the dashboard menu, so that I can configure and run it.","F-1","Allow click selection of any director report entry"
"US-5","As a director, I want to select a director report from the dashboard menu, so that I can configure and run it.","F-2","Display parameter form with required fields"
"US-5","As a director, I want to select a director report from the dashboard menu, so that I can configure and run it.","F-3","Enforce completion of required fields before run"
"US-6","As a director, I want to export the director report in Excel or PDF, so that I can review or distribute it.","F-1","Render [REPORT IN EXCEL] and [REPORT IN PDF] buttons"
"US-6","As a director, I want to export the director report in Excel or PDF, so that I can review or distribute it.","F-2","Generate and download file in chosen format"
"US-6","As a director, I want to export the director report in Excel or PDF, so that I can review or distribute it.","F-3","Validate content matches report criteria"
"US-7","As a servicing supervisor, I want to open the Servicing/Release Reports dashboard, so that I can access servicing and release reports.","F-1","Provide “Servicing/Release Reports” option in Reports dropdown"
"US-7","As a servicing supervisor, I want to open the Servicing/Release Reports dashboard, so that I can access servicing and release reports.","F-2","Redirect to Servicing/Release Reports dashboard when chosen"
"US-7","As a servicing supervisor, I want to open the Servicing/Release Reports dashboard, so that I can access servicing and release reports.","F-3","Display left-hand list of servicing/release reports"
"US-8","As a servicing supervisor, I want to select a servicing or release report, so that I can configure and run it.","F-1","Enable click selection of servicing/release report"
"US-8","As a servicing supervisor, I want to select a servicing or release report, so that I can configure and run it.","F-2","Show parameter entry form with required fields"
"US-8","As a servicing supervisor, I want to select a servicing or release report, so that I can configure and run it.","F-3","Prevent report generation until required fields populated"
"US-9","As a servicing supervisor, I want to export the report in Excel or PDF, so that I can analyze and share it.","F-1","Provide buttons for Excel and PDF exports"
"US-9","As a servicing supervisor, I want to export the report in Excel or PDF, so that I can analyze and share it.","F-2","Generate file in selected format and prompt download"
"US-9","As a servicing supervisor, I want to export the report in Excel or PDF, so that I can analyze and share it.","F-3","Ensure report data matches input parameters"
"US-10","As an accountant, I want to open the Accounting Reports dashboard via Reports menu, so that I can access accounting reports.","F-1","Add “Accounting Reports” option to Reports dropdown"
"US-10","As an accountant, I want to open the Accounting Reports dashboard via Reports menu, so that I can access accounting reports.","F-2","Redirect to Accounting Reports dashboard upon click"
"US-10","As an accountant, I want to open the Accounting Reports dashboard via Reports menu, so that I can access accounting reports.","F-3","Display accounting reports list in left navigation"
"US-11","As an accountant, I want to choose “Download” or “Recreate” before generating a report, so that I control the report source.","F-1","Display Download Type selector with “Download Report from server” and “Recreate Report”"
"US-11","As an accountant, I want to choose “Download” or “Recreate” before generating a report, so that I control the report source.","F-2","Default selector to “Download Report from server”"
"US-11","As an accountant, I want to choose “Download” or “Recreate” before generating a report, so that I control the report source.","F-3","Pass selected download type to report generation service"
"US-12","As an accountant, I want to export accounting reports in Excel or PDF, so that I can analyze and distribute financial data.","F-1","Provide buttons [REPORT IN EXCEL] and, when applicable, [REPORT IN PDF]"
"US-12","As an accountant, I want to export accounting reports in Excel or PDF, so that I can analyze and distribute financial data.","F-2","Generate chosen file type and initiate download"
"US-12","As an accountant, I want to export accounting reports in Excel or PDF, so that I can analyze and distribute financial data.","F-3","Validate file content and formatting"
"US-13","As an accountant, I want to generate an FHASL report as a DAT file, so that I can upload it to downstream systems.","F-1","Show [REPORT IN DAT FILE] button only when FHASL report selected"
"US-13","As an accountant, I want to generate an FHASL report as a DAT file, so that I can upload it to downstream systems.","F-2","Generate DAT file conforming to FHASL schema"
"US-13","As an accountant, I want to generate an FHASL report as a DAT file, so that I can upload it to downstream systems.","F-3","Initiate download and confirm file integrity"
"US-14","As a user, I want to view my account details by clicking my username, so that I can review my personal information.","F-1","Make username in top navigation clickable"
"US-14","As a user, I want to view my account details by clicking my username, so that I can review my personal information.","F-2","Route to User Information page in view mode"
"US-14","As a user, I want to view my account details by clicking my username, so that I can review my personal information.","F-3","Display current identification, contact, and password fields"
"US-15","As a user, I want to edit and save my identification and contact information, so that my account details stay current.","F-1","Enable edit mode for identification and contact fields"
"US-15","As a user, I want to edit and save my identification and contact information, so that my account details stay current.","F-2","Validate field inputs and required formats on save"
"US-15","As a user, I want to edit and save my identification and contact information, so that my account details stay current.","F-3","Persist updated data and display confirmation message"
"US-16","As a user, I want to cancel my edits to account information, so that no unintended changes are saved.","F-1","Provide [CANCEL] button in edit mode"
"US-16","As a user, I want to cancel my edits to account information, so that no unintended changes are saved.","F-2","Discard unsaved changes upon cancel"
"US-16","As a user, I want to cancel my edits to account information, so that no unintended changes are saved.","F-3","Return user to previously saved data view"
"US-17","As a user, I want to change my password from the account page, so that I maintain security.","F-1","Provide fields for Current Password, New Password, Confirm Password"
"US-17","As a user, I want to change my password from the account page, so that I maintain security.","F-2","Validate current password correctness"
"US-17","As a user, I want to change my password from the account page, so that I maintain security.","F-3","Enforce new password and confirmation match and policy"
"US-17","As a user, I want to change my password from the account page, so that I maintain security.","F-4","Persist new password and show success notice"
"US-18","As a multi-role user, I want to switch my active role from the role dropdown, so that the site updates to that role’s permissions.","F-1","Display active role link with dropdown of assigned roles"
"US-18","As a multi-role user, I want to switch my active role from the role dropdown, so that the site updates to that role’s permissions.","F-2","Switch application context to selected role immediately"
"US-18","As a multi-role user, I want to switch my active role from the role dropdown, so that the site updates to that role’s permissions.","F-3","Refresh menus and permissions to match new role"
"US-19","As a user, I want to open support options by clicking the blue question-mark tab, so that I can request assistance.","F-1","Render blue question-mark tab on right edge of every page"
"US-19","As a user, I want to open support options by clicking the blue question-mark tab, so that I can request assistance.","F-2","Expand tab to show [TECH SUPPORT] option when clicked"
"US-20","As a user, I want to start a live chat with tech support, so that I receive real-time help.","F-1","Launch Tech Support popup when [TECH SUPPORT] selected"
"US-20","As a user, I want to start a live chat with tech support, so that I receive real-time help.","F-2","Capture Name and Question inputs and optional email"
